order_id,order_date,product_id,size,price_paid,customer_id
O0001,2026-19-05,P0015,14,298,C011
O0002,2/3/2026,P0064,6,205,C003
O0003,2/3/2026,P0018,16,376,C040
O0004,2/8/2026,P0086,16,316,C004
O0005,1/31/2026,P0001,8,137,C024
O0006,2/15/2026,P0061,14,151,C002
O0007,1/18/2026,P0022,16,437,C029
O0008,2/17/2026,P0087,12,225,C016
O0009,2/2/2026,P0059,8,191,C025
O0010,1/18/2026,P0041,12,122,C029
O0011,2/2/2026,P0070,4,330,C005
O0012,1/23/2026,P0035,4,96,C026
O0013,2/8/2026,P0055,4,255,C008
O0014,2/14/2026,P0012,2,97,C034
O0015,1/21/2026,P0015,14,219,C017
O0016,1/28/2026,P0025,6,266,C040
O0017,1/25/2026,P0029,2,305,C008
O0018,2/21/2026,P0054,10,178,C012
O0019,1/28/2026,P0072,4,193,C006
O0020,2/3/2026,P0085,10,273,C005
O0021,1/22/2026,P0012,6,84,C020
O0022,2/14/2026,P0045,14,183,C033
O0023,2/18/2026,P0048,14,82,C009
O0024,1/25/2026,P0086,6,316,C002
O0025,1/21/2026,P0003,2,230,C024
O0026,1/21/2026,P0030,2,232,C040
O0027,2/21/2026,P0021,4,277,C026
O0028,1/26/2026,P0096,6,299,C034
O0029,1/30/2026,P0080,6,53,C009
O0030,2/21/2026,P0044,6,346,C030
O0031,2/3/2026,P0097,4,182,C036
O0032,1/19/2026,P0053,14,343,C012
O0033,1/29/2026,P0024,4,275,C033
O0034,2/22/2026,P0019,16,131,C008
O0035,2/16/2026,P0058,6,326,C011
O0036,2/5/2026,P0075,16,364,C015
O0037,1/23/2026,P0083,4,205,C006
O0038,2/13/2026,P0078,14,95,C036
O0039,2/17/2026,P0024,16,275,C020
O0040,1/22/2026,P0066,2,277,C033
O0041,2/15/2026,P0093,10,237,C038
O0042,2/15/2026,P0096,4,299,C040
O0043,1/18/2026,P0079,10,336,C037
O0044,2/24/2026,P0035,16,78,C003
O0045,1/20/2026,P0026,14,390,C017
O0046,1/20/2026,P0065,14,319,C027
O0047,2/24/2026,P0059,6,208,C035
O0048,2/6/2026,P0057,10,155,C016
O0049,1/31/2026,P0033,16,266,C030
O0050,2/22/2026,P0068,6,253,C029
O0051,1/26/2026,P0008,16,309,C014
O0052,1/18/2026,P0069,16,75,C021
O0053,2/5/2026,P0043,12,242,C023
O0054,2/17/2026,P0038,6,144,C033
O0055,2/5/2026,P0013,16,284,C030
O0056,2/8/2026,P0064,8,205,C016
O0057,2/19/2026,P0086,6,316,C004
O0058,2/1/2026,P0014,12,414,C040
O0059,2/10/2026,P0012,14,76,C021
O0060,2/5/2026,P0012,6,78,C011
O0061,1/24/2026,P0099,14,209,C030
O0062,2/6/2026,P0093,2,225,C002
O0063,1/31/2026,P0062,4,172,C030
O0064,2/12/2026,P0040,16,204,C023
O0065,2/22/2026,P0081,14,291,C032
O0066,1/26/2026,P0073,14,300,C035
O0067,2/19/2026,P0072,10,193,C028
O0068,2/9/2026,P0039,6,430,C024
O0069,2/2/2026,P0086,16,316,C003
O0070,2/22/2026,P0034,6,239,C036
O0071,2/2/2026,P0043,6,219,C019
O0072,2/1/2026,P0013,16,352,C029
O0073,1/17/2026,P0023,4,259,C040
O0074,2/17/2026,P0031,12,311,C007
O0075,2/2/2026,P0003,8,258,C022
O0076,2/2/2026,P0028,4,153,C013
O0077,1/24/2026,P0078,6,95,C026
O0078,2/23/2026,P0049,4,71,C003
O0079,2/4/2026,P0017,16,109,C031
O0080,2/16/2026,P0030,2,330,C009
O0081,1/17/2026,P0032,14,305,C021
O0082,1/31/2026,P0081,14,295,C038
O0083,1/24/2026,P0048,8,102,C035
O0084,1/20/2026,P0063,14,173,C031
O0085,2/2/2026,P0094,6,74,C008
O0086,1/19/2026,P0021,12,276,C002
O0087,2/9/2026,P0020,16,419,C038
O0088,2/11/2026,P0072,16,193,C004
O0089,1/26/2026,P0093,14,183,C034
O0090,2/1/2026,P0097,4,184,C016
O0091,1/20/2026,P0043,10,238,C008
O0092,5/19/2026,P0090,10,349,C029
O0093,1/30/2026,P0065,12,319,C010
O0094,2/12/2026,P0075,8,364,C027
O0095,1/17/2026,P0001,10,137,C031
O0096,2/17/2026,P0054,2,187,C014
O0097,1/26/2026,P0067,6,289,C034
O0098,2/5/2026,P0035,6,84,C030
O0099,2/4/2026,P0018,6,376,C035
O0100,2/9/2026,P0015,14,312,C013
